Github Username,Label,Label,Label
carrieng0323852,tutorial.CS2113T-T09,team.3,tutor.jylee-git
nwjbrandon,tutorial.CS2113T-T09,team.3,tutor.jylee-git
therealcs1010,tutorial.CS2113T-T09,team.3,tutor.jylee-git
Hotspur1997,tutorial.CS2113T-T09,team.4,tutor.jylee-git
Riyas97,tutorial.CS2113T-T09,team.4,tutor.jylee-git
nwenhui,tutorial.CS2113T-T09,team.4,tutor.jylee-git
pdotdeep,tutorial.CS2113T-T09,team.4,tutor.jylee-git
TianchangLiao,tutorial.CS2113T-T12,team.1,tutor.akshayeshenoi
CheeSengg,tutorial.CS2113T-T12,team.1,tutor.akshayeshenoi
NicholasLiu97,tutorial.CS2113T-T12,team.1,tutor.akshayeshenoi
OungKennedy,tutorial.CS2113T-T12,team.1,tutor.akshayeshenoi
termehlee,tutorial.CS2113T-T12,team.2,tutor.akshayeshenoi
ChaojieLiu666,tutorial.CS2113T-T12,team.2,tutor.akshayeshenoi
otonashixav,tutorial.CS2113T-T12,team.2,tutor.akshayeshenoi
lucasfoo,tutorial.CS2113T-T12,team.2,tutor.akshayeshenoi
chekjun,tutorial.CS2113T-T12,team.3,tutor.RubaP
eugenelim97,tutorial.CS2113T-T12,team.3,tutor.RubaP
liujiajun,tutorial.CS2113T-T12,team.3,tutor.RubaP
liushiru,tutorial.CS2113T-T12,team.3,tutor.RubaP
lizihan95,tutorial.CS2113T-T12,team.4,tutor.RubaP
jiaweijwjw,tutorial.CS2113T-T12,team.4,tutor.RubaP
wjlingg,tutorial.CS2113T-T12,team.4,tutor.RubaP
LJX0006,tutorial.CS2113T-T12,team.4,tutor.RubaP
aarushisingh1,tutorial.CS2113T-W12,team.1,tutor.flxffy
rabhijit,tutorial.CS2113T-W12,team.1,tutor.flxffy
isbobby,tutorial.CS2113T-W12,team.1,tutor.flxffy
hin1,tutorial.CS2113T-W12,team.1,tutor.flxffy
danielcyc,tutorial.CS2113T-W12,team.1,tutor.flxffy
Chianhaoplanks,tutorial.CS2113T-W12,team.2,tutor.flxffy
ChenChao19,tutorial.CS2113T-W12,team.2,tutor.flxffy
cctt1014,tutorial.CS2113T-W12,team.2,tutor.flxffy
chengweixuan,tutorial.CS2113T-W12,team.2,tutor.flxffy
therealnickcheong,tutorial.CS2113T-W12,team.2,tutor.flxffy
